 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.85236687     -0.85231883     -0.85231881     -0.85231880     -0.85214265
     -0.85214264     -0.85214263     -0.85188132     -0.85188132     -0.85141870
     -0.85115578     -0.85115577     -0.85115576     -0.85065011     -0.85055475
     -0.85055475     -0.85055474     -0.85054264     -0.85054263     -0.85054263
     -0.85031063     -0.85031062     -0.85031061     -0.84977141     -0.84977139
     -0.84977139     -0.84977138     -0.84977136     -0.84977135     -0.84952694
     -0.84952693     -0.84952693     -0.84927546     -0.84927545     -0.84927544
     -0.84898078     -0.84898078     -0.84865271     -0.84865270     -0.84865269
     -0.84865268     -0.84865268     -0.84865267     -0.84843408     -0.84843406
     -0.84843405     -0.84812494     -0.84812493     -0.84812492     -0.84804879
     -0.84804878     -0.84791688     -0.84791687     -0.84791687     -0.84773488
     -0.84773486     -0.84773485     -0.84757370     -0.84757368     -0.84757367
     -0.84745816     -0.84745815     -0.84745814     -0.84739261     -0.84739260
     -0.84739259     -0.84739258     -0.84739256     -0.84739256     -0.84733596
     -0.84733594     -0.84733593     -0.84726591     -0.84726591     -0.84726590
     -0.84686035     -0.84686034     -0.84686033     -0.84663043     -0.84663042
     -0.84663041     -0.84663040     -0.84663039     -0.84663038     -0.84659505
     -0.84659503     -0.84659502     -0.84610825     -0.84610824     -0.84610823
     -0.84610823     -0.84610820     -0.84610819     -0.84606184     -0.84606183
     -0.84606183     -0.84606182     -0.84606181     -0.84606181     -0.84600124
     -0.84600123     -0.84600122     -0.84582872     -0.84582870     -0.84582869
     -0.84516667     -0.84516667     -0.84516666     -0.84516665     -0.84516664
     -0.84516664     -0.84506733     -0.84506733     -0.84506732     -0.84434382
     -0.84434382     -0.84434380     -0.84434380     -0.84434378     -0.84434377
     -0.84433495     -0.84433494     -0.84433493     -0.84433492     -0.84433491
     -0.84433490     -0.84421118     -0.84421118     -0.84421118     -0.84414148
     -0.84414146     -0.84414145     -0.84406793     -0.84406793     -0.84406793
     -0.84400770     -0.84400769     -0.84400768     -0.84329804     -0.84329803
     -0.84329803     -0.84303026     -0.84303025     -0.84303025     -0.84302459
     -0.84302459     -0.84302458     -0.84302457     -0.84302457     -0.84302456
     -0.84301620     -0.84301619     -0.84301618     -0.84293492     -0.84293490
     -0.84293489     -0.84293489     -0.84293487     -0.84293486     -0.84287609
     -0.84287606     -0.84287606     -0.84264077     -0.84264076     -0.84264075
     -0.84257221     -0.84257220     -0.84257220     -0.84242838     -0.84242838
     -0.84228930     -0.84228930     -0.84228929     -0.84205649     -0.84205647
     -0.84205647     -0.84205646     -0.84205644     -0.84205644     -0.84188995
     -0.84188994     -0.84188993     -0.84185386     -0.84185385     -0.84185384
     -0.84152523     -0.84152521     -0.84152520     -0.84136989     -0.84136989
     -0.84134713     -0.84134713     -0.84134712     -0.84133309     -0.84072614
     -0.84072614     -0.84072613     -0.84055262     -0.84046467     -0.84046466
     -0.84046466     -0.83994184     -0.83994184     -0.83945639     -0.83945638
     -0.83945637     -0.83923507     -0.83923506     -0.83923504     -0.83916528
     -0.83916527     -0.83916526     -0.83903695     -0.83903695     -0.83891070
     -0.83891069     -0.83891068     -0.83890494     -0.83890493     -0.83890492
     -0.83877051     -0.83877049     -0.83877049     -0.83857023     -0.83857022
     -0.83857022     -0.83856427     -0.83856425     -0.83856424     -0.83856423
     -0.83856422     -0.83856420     -0.83856052     -0.83856051     -0.83856050
     -0.83852948     -0.83852948     -0.83852945     -0.83847571     -0.83847569
     -0.83847569     -0.83838605     -0.83838604     -0.83838603     -0.83838602
     -0.83838599     -0.83838598     -0.83823860     -0.83823859     -0.83823858
     -0.83823857     -0.83823857     -0.83823856     -0.83815465     -0.83815464
     -0.83815462     -0.83801224     -0.83801223     -0.83801223     -0.83777352
     -0.83777351     -0.83777350     -0.83777349     -0.83777348     -0.83777347
     -0.42535410     -0.41211941     -0.41211938     -0.41211936     -0.40001972
     -0.40001969     -0.40001967     -0.39019183     -0.38628592     -0.38628589
     -0.38628587     -0.37703123     -0.37703121     -0.37703119     -0.37703118
     -0.37703117     -0.37703115     -0.37431357     -0.37431357     -0.37431355
     -0.36149924     -0.36149921     -0.36149919     -0.34935899     -0.34935898
     -0.34935897     -0.34724057     -0.34724056     -0.34724054     -0.34724053
     -0.34724052     -0.34724050     -0.30420703     -0.30420702     -0.30420701
     -0.30420699     -0.30420698     -0.30420697     -0.30276494     -0.30276493
     -0.30276491     -0.28982048     -0.28982046     -0.28982043     -0.28093471
     -0.28093471     -0.28093468     -0.26908380     -0.26908378     -0.26908378
     -0.26908376     -0.26908375     -0.26908374     -0.25874933     -0.25147581
     -0.25147579     -0.25147576     -0.23175795     -0.23175794     -0.23175793
     -0.19829174     -0.19829173     -0.19829172     -0.16737610     -0.16737609
     -0.16737608     -0.16622395     -0.16622394     -0.16622393     -0.16622392
     -0.16622391     -0.16622391     -0.15247878     -0.15247877     -0.15247876
     -0.15247875     -0.15247874     -0.15247873     -0.15227115     -0.15227114
     -0.15227113     -0.14950259     -0.13973033     -0.13973031     -0.13973030
     -0.13973029     -0.13973028     -0.13973027     -0.13659118     -0.13659115
     -0.13659114     -0.13425112     -0.13425111     -0.13425110     -0.13245873
     -0.13245873     -0.13245872     -0.12701380     -0.12701378     -0.12701377
     -0.12259979     -0.12259978     -0.12259976     -0.11491833     -0.11491831
     -0.11491830     -0.11461320     -0.11461318     -0.11461317     -0.11461316
     -0.11461316     -0.11461314     -0.10637721     -0.10637718     -0.10637717
     -0.10037464     -0.10037462     -0.10037461     -0.09666288     -0.09666286
     -0.09666285     -0.09353967     -0.09353967     -0.08419468     -0.08419466
