  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   1826  -0.68020      0.0000000000    -16.715961      0.0000000000      639.9999999999
   1836  -0.67920      0.0000000000    -16.688749      0.0000000000      639.9999999999
   1846  -0.67820      0.0000000000    -16.661538      0.0000000000      639.9999999999
   1856  -0.67720      0.0000000000    -16.634326      0.0000000000      639.9999999999
   1866  -0.67620      0.0000000000    -16.607115      0.0000000000      639.9999999999
   1876  -0.67520      0.0000000000    -16.579904      0.0000000000      639.9999999999
   1886  -0.67420      0.0000000000    -16.552692      0.0000000000      639.9999999999
   1896  -0.67320      0.0000000000    -16.525481      0.0000000000      639.9999999999
   1906  -0.67220      0.0000000000    -16.498269      0.0000000000      639.9999999999
   1916  -0.67120      0.0000000000    -16.471058      0.0000000000      639.9999999999
   1926  -0.67020      0.0000000000    -16.443847      0.0000000000      639.9999999999
   1936  -0.66920      0.0000000000    -16.416635      0.0000000000      639.9999999999
   1946  -0.66820      0.0000000000    -16.389424      0.0000000000      639.9999999999
   1956  -0.66720      0.0000000000    -16.362213      0.0000000000      639.9999999999
   1966  -0.66620      0.0000000000    -16.335001      0.0000000000      639.9999999999
   1976  -0.66520      0.0000000000    -16.307790      0.0000000000      639.9999999999
   1986  -0.66420      0.0000000000    -16.280578      0.0000000000      639.9999999999
   1996  -0.66320      0.0000000000    -16.253367      0.0000000000      639.9999999999
   2006  -0.66220      0.0000000000    -16.226156      0.0000000000      639.9999999999
   2016  -0.66120      0.0000000000    -16.198944      0.0000000000      639.9999999999
   2026  -0.66020      0.0000000000    -16.171733      0.0000000000      639.9999999999
   2036  -0.65920      0.0000000000    -16.144521      0.0000000000      639.9999999999
   2046  -0.65820      0.0000000000    -16.117310      0.0000000000      639.9999999999
   2056  -0.65720      0.0000000000    -16.090099      0.0000000000      639.9999999999
   2066  -0.65620      0.0000000000    -16.062887      0.0000000000      639.9999999999
   2076  -0.65520      0.0000000000    -16.035676      0.0000000000      639.9999999999
   2086  -0.65420      0.0000000000    -16.008464      0.0000000000      639.9999999999
   2096  -0.65320      0.0000000000    -15.981253      0.0000000000      639.9999999999
   2106  -0.65220      0.0000000000    -15.954042      0.0000000000      639.9999999999
   2116  -0.65120      0.0000000000    -15.926830      0.0000000000      639.9999999999
   2126  -0.65020      0.0000000000    -15.899619      0.0000000000      639.9999999999
   2136  -0.64920      0.0000000000    -15.872407      0.0000000000      639.9999999999
   2146  -0.64820      0.0000000000    -15.845196      0.0000000000      639.9999999999
   2156  -0.64720      0.0000000000    -15.817985      0.0000000000      639.9999999999
   2166  -0.64620      0.0000000000    -15.790773      0.0000000000      639.9999999999
   2176  -0.64520      0.0000000000    -15.763562      0.0000000000      639.9999999999
   2186  -0.64420      0.0000000000    -15.736350      0.0000000000      639.9999999999
   2196  -0.64320      0.0000000000    -15.709139      0.0000000000      639.9999999999
   2206  -0.64220      0.0000000000    -15.681928      0.0000000000      639.9999999999
   2216  -0.64120      0.0000000000    -15.654716      0.0000000000      639.9999999999
   2226  -0.64020      0.0000000000    -15.627505      0.0000000000      639.9999999999
