 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.34750015     -0.32547003     -0.30607823     -0.30607327     -0.30603490
     -0.30580324     -0.30571309     -0.30570983     -0.30277155     -0.30276925
     -0.29362940     -0.29129249     -0.29128874     -0.28467259     -0.28162345
     -0.28161390     -0.27725170     -0.27085702     -0.27083437     -0.27082888
     -0.26835934     -0.26835765     -0.26052517     -0.25530025     -0.25262438
     -0.25262148     -0.23625937     -0.23243331     -0.23242471     -0.20681131
     -0.19898015     -0.19897126     -0.16945027     -0.16878762     -0.16878567
     -0.16789731     -0.16759972     -0.16759736     -0.16590067     -0.16526299
     -0.16525937     -0.15776774     -0.15418160     -0.15397571     -0.15397244
     -0.15369458     -0.15369353     -0.15335361     -0.15130391     -0.15023241
     -0.15022767     -0.14148036     -0.14129295     -0.14128845     -0.14020469
     -0.14020099     -0.13947580     -0.13812130     -0.13648570     -0.13644190
     -0.13643629     -0.13448426     -0.13448147     -0.13224385     -0.13209191
     -0.13208766     -0.12765888     -0.12765675     -0.12438234     -0.12419530
     -0.12166002     -0.12165519     -0.11659319     -0.11631540     -0.11630881
     -0.11628193     -0.11598167     -0.11597689     -0.11235210     -0.11235123
     -0.10837579     -0.10790437     -0.10415396     -0.10414818     -0.10086981
     -0.10086515     -0.09825549     -0.09640028     -0.09639011     -0.08994376
     -0.08993719     -0.08986099     -0.08581242     -0.07505115     -0.07453224
     -0.07452169     -0.06217266     -0.05455067     -0.05454270     -0.04601864
     -0.03081917     -0.03081039     -0.02785731     -0.02753693     -0.02752938
     -0.02556166     -0.02502363     -0.02500948     -0.02160911     -0.01682086
     -0.01680430     -0.01674095     -0.01448816     -0.01447342     -0.01234922
     -0.00943888     -0.00941680     -0.00071469     -0.00000833      0.00007015
      0.00014301      0.00051333      0.00073228      0.00081953      0.00343931
      0.00382506      0.00506770      0.00637114      0.00680335      0.00758729
      0.00911592      0.01025020      0.01175623      0.01308423
 ===== energy eigen values =====
 ik =    3 ( -0.250000  0.250000 -0.250000 )
