 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.84070586     -0.84068256     -0.84065334     -0.84065334     -0.84064144
     -0.84051158     -0.84051158     -0.84049237     -0.84048839     -0.84043704
     -0.84043704     -0.84040780     -0.84035473     -0.84035473     -0.84016471
     -0.84016471     -0.84001672     -0.84001671     -0.83999738     -0.83993154
     -0.83993153     -0.83978277     -0.83975095     -0.83972427     -0.83972426
     -0.83961701     -0.83961701     -0.83948752     -0.83933709     -0.83928143
     -0.83928142     -0.83913540     -0.83868090     -0.83867074     -0.83867072
     -0.83850762     -0.83850761     -0.83847271     -0.83845537     -0.83845535
     -0.42623309     -0.41353184     -0.41353182     -0.41158877     -0.40138861
     -0.40138860     -0.39880850     -0.39043581     -0.38776873     -0.38776871
     -0.38591870     -0.37878993     -0.37878992     -0.37858225     -0.37818242
     -0.37818239     -0.37793257     -0.37489600     -0.37489596     -0.36779415
     -0.36281491     -0.36281489     -0.35660790     -0.35129389     -0.35116635
     -0.35116634     -0.34885854     -0.34885851     -0.34882905     -0.34710416
     -0.34710413     -0.32547138     -0.30612792     -0.30612792     -0.30593546
     -0.30588411     -0.30557697     -0.30557694     -0.30243062     -0.30243060
     -0.29338066     -0.29120993     -0.29120991     -0.28448553     -0.28164354
     -0.28164353     -0.27731798     -0.27082027     -0.27067856     -0.27067854
     -0.26825149     -0.26825147     -0.26040773     -0.25526434     -0.25260154
     -0.25260151     -0.23629117     -0.23244357     -0.23244355     -0.20721046
     -0.19901737     -0.19901734     -0.16925631     -0.16842242     -0.16842241
     -0.16758321     -0.16758320     -0.16751301     -0.16614247     -0.16532111
     -0.16532108     -0.15820096     -0.15398927     -0.15379174     -0.15379173
     -0.15355525     -0.15355525     -0.15317754     -0.15132629     -0.15024153
     -0.15024152     -0.14123630     -0.14109383     -0.14109382     -0.14020723
     -0.14020723     -0.13920050     -0.13790377     -0.13637432     -0.13603148
     -0.13603144     -0.13436331     -0.13436330     -0.13202927     -0.13184436
     -0.13184435     -0.12747412     -0.12747409     -0.12463267     -0.12406762
     -0.12149819     -0.12149817     -0.11648053     -0.11602817     -0.11602814
     -0.11593284     -0.11578416     -0.11578410     -0.11218928     -0.11218924
     -0.10852317     -0.10778908     -0.10379752     -0.10379748     -0.10074753
     -0.10074750     -0.09810977     -0.09622219     -0.09622217     -0.09194927
     -0.08999804     -0.08999803     -0.08560137     -0.07678202     -0.07469162
     -0.07469159     -0.06227435     -0.05566127     -0.05566125     -0.04584873
     -0.03069449     -0.03069447     -0.02762708     -0.02732177     -0.02732173
     -0.02537797     -0.02515361     -0.02515358     -0.02213548     -0.01669522
     -0.01663752     -0.01663750     -0.01426559     -0.01426555     -0.01241498
     -0.01017623     -0.01017619     -0.00095762     -0.00003429     -0.00003422
      0.00018334      0.00037217      0.00053451      0.00053453      0.00318054
      0.00318082      0.00449006      0.00653767      0.00660654      0.00660802
      0.00880361      0.00889574      0.01099554      0.01103168
 ===== energy eigen values =====
 ik =    3 ( -0.250000  0.250000 -0.250000 )
     -0.85696704     -0.85696703     -0.85695838     -0.85662659     -0.85662659
     -0.85653126     -0.85648529     -0.85648529     -0.85627040     -0.85622649
     -0.85622648     -0.85613633     -0.85598080     -0.85598079     -0.85591378
     -0.85581373     -0.85566503     -0.85566502     -0.85559901     -0.85559900
     -0.85557262     -0.85553746     -0.85544615     -0.85544231     -0.85544230
     -0.85535930     -0.85535929     -0.85529433     -0.85529433     -0.85512757
     -0.85512757     -0.85509367     -0.85508486     -0.85505761     -0.85505761
     -0.85496290     -0.85492647     -0.85492647     -0.85470877     -0.85470877
     -0.85467937     -0.85466686     -0.85466685     -0.85466277     -0.85404109
     -0.85392902     -0.85392902     -0.85384286     -0.85382593     -0.85375477
     -0.85375475     -0.85361174     -0.85360322     -0.85360322     -0.85357448
     -0.85337649     -0.85337648     -0.85331382     -0.85331382     -0.85319836
     -0.85317805     -0.85317804     -0.85317474     -0.85295241     -0.85293810
     -0.85293809     -0.85268302     -0.85258005     -0.85258004     -0.85248244
     -0.85248243     -0.85239606     -0.85217948     -0.85217947     -0.85214694
     -0.85195222     -0.85195221     -0.85179100     -0.85173828     -0.85173828
     -0.85155287     -0.85154014     -0.85154014     -0.85139965     -0.85139965
     -0.85139562     -0.85108936     -0.85108935     -0.85108023     -0.85107370
     -0.85094318     -0.85094318     -0.85080201     -0.85080201     -0.85062025
     -0.85060161     -0.85060161     -0.85053363     -0.85050364     -0.85050364
     -0.85034622     -0.85034622     -0.85032093     -0.85025701     -0.85018201
     -0.85018201     -0.85006757     -0.85001720     -0.85001720     -0.84994007
     -0.84965293     -0.84965292     -0.84964571     -0.84945829     -0.84943720
     -0.84943719     -0.84940389     -0.84940389     -0.84937511     -0.84933768
     -0.84933768     -0.84913100     -0.84907001     -0.84907000     -0.84900945
     -0.84891198     -0.84891197     -0.84885044     -0.84870346     -0.84870346
     -0.84862810     -0.84862810     -0.84850862     -0.84842415     -0.84842414
     -0.84836051     -0.84830384     -0.84822094     -0.84820336     -0.84820336
     -0.84811032     -0.84811032     -0.84804195     -0.84800111     -0.84800111
     -0.84792171     -0.84792171     -0.84790067     -0.84773493     -0.84758586
     -0.84758586     -0.84751256     -0.84751256     -0.84751051     -0.84740541
     -0.84733215     -0.84733214     -0.84723567     -0.84723567     -0.84719567
     -0.84699870     -0.84691431     -0.84691430     -0.84688175     -0.84685232
     -0.84675695     -0.84675695     -0.84667573     -0.84664454     -0.84664454
     -0.84649790     -0.84648835     -0.84648835     -0.84628576     -0.84628575
     -0.84624907     -0.84614210     -0.84614210     -0.84606944     -0.84606944
     -0.84604211     -0.84598312     -0.84592287     -0.84592287     -0.84579468
     -0.84579467     -0.84578779     -0.84575862     -0.84571808     -0.84571808
     -0.84547835     -0.84540088     -0.84536158     -0.84536158     -0.84528161
     -0.84528161     -0.84523412     -0.84509032     -0.84509031     -0.84506634
     -0.84505348     -0.84497365     -0.84497365     -0.84487920     -0.84487920
     -0.84477304     -0.84477304     -0.84474389     -0.84463461     -0.84454955
     -0.84454955     -0.84443535     -0.84437900     -0.84437900     -0.84432930
     -0.84432930     -0.84430022     -0.84422325     -0.84417145     -0.84417145
     -0.84406506     -0.84406506     -0.84403796     -0.84397841     -0.84397841
     -0.84388171     -0.84375669     -0.84375669     -0.84371715     -0.84365412
     -0.84365411     -0.84344252     -0.84340889     -0.84334768     -0.84334768
     -0.84320216     -0.84318592     -0.84318592     -0.84296305     -0.84292541
     -0.84292541     -0.84271712     -0.84271712     -0.84270500     -0.84270268
     -0.84260929     -0.84260928     -0.84243786     -0.84243753     -0.84243753
     -0.84214854     -0.84214854     -0.84210056     -0.84190439     -0.84190439
     -0.84189916     -0.84186750     -0.84180510     -0.84180510     -0.84176869
     -0.84176868     -0.84164847     -0.84164846     -0.84162092     -0.84146430
     -0.84140687     -0.84140687     -0.84130461     -0.84130461     -0.84123280
     -0.84118376     -0.84118376     -0.84117852     -0.84105671     -0.84070587
     -0.84070586     -0.84068256     -0.84065334     -0.84065334     -0.84064144
     -0.84051158     -0.84051157     -0.84049237     -0.84048839     -0.84043704
     -0.84043704     -0.84040780     -0.84035473     -0.84035473     -0.84016471
     -0.84016471     -0.84001672     -0.84001671     -0.83999738     -0.83993154
     -0.83993154     -0.83978277     -0.83975095     -0.83972427     -0.83972426
     -0.83961701     -0.83961701     -0.83948752     -0.83933710     -0.83928142
     -0.83928141     -0.83913541     -0.83868091     -0.83867073     -0.83867072
     -0.83850762     -0.83850761     -0.83847272     -0.83845536     -0.83845535
     -0.42623309     -0.41353184     -0.41353182     -0.41158877     -0.40138862
     -0.40138859     -0.39880850     -0.39043581     -0.38776873     -0.38776871
     -0.38591870     -0.37878993     -0.37878992     -0.37858224     -0.37818241
     -0.37818239     -0.37793257     -0.37489601     -0.37489596     -0.36779414
     -0.36281492     -0.36281489     -0.35660790     -0.35129389     -0.35116634
     -0.35116633     -0.34885853     -0.34885852     -0.34882905     -0.34710417
     -0.34710414     -0.32547137     -0.30612792     -0.30612792     -0.30593546
     -0.30588412     -0.30557696     -0.30557694     -0.30243063     -0.30243061
     -0.29338066     -0.29120993     -0.29120991     -0.28448553     -0.28164355
     -0.28164351     -0.27731798     -0.27082026     -0.27067855     -0.27067854
     -0.26825151     -0.26825146     -0.26040772     -0.25526434     -0.25260154
     -0.25260151     -0.23629117     -0.23244357     -0.23244355     -0.20721046
     -0.19901737     -0.19901734     -0.16925631     -0.16842242     -0.16842241
     -0.16758321     -0.16758320     -0.16751302     -0.16614248     -0.16532110
     -0.16532109     -0.15820097     -0.15398928     -0.15379174     -0.15379173
     -0.15355525     -0.15355524     -0.15317754     -0.15132629     -0.15024154
     -0.15024151     -0.14123630     -0.14109383     -0.14109382     -0.14020724
     -0.14020722     -0.13920050     -0.13790377     -0.13637431     -0.13603146
     -0.13603145     -0.13436332     -0.13436330     -0.13202927     -0.13184437
     -0.13184434     -0.12747411     -0.12747410     -0.12463266     -0.12406762
     -0.12149818     -0.12149818     -0.11648053     -0.11602816     -0.11602815
     -0.11593284     -0.11578415     -0.11578411     -0.11218926     -0.11218926
     -0.10852317     -0.10778908     -0.10379751     -0.10379749     -0.10074752
     -0.10074751     -0.09810976     -0.09622219     -0.09622217     -0.09194928
     -0.08999804     -0.08999803     -0.08560137     -0.07678200     -0.07469161
     -0.07469160     -0.06227435     -0.05566130     -0.05566123     -0.04584873
     -0.03069448     -0.03069447     -0.02762708     -0.02732175     -0.02732174
     -0.02537797     -0.02515362     -0.02515357     -0.02213549     -0.01669522
     -0.01663752     -0.01663751     -0.01426558     -0.01426557     -0.01241497
     -0.01017625     -0.01017616     -0.00095767     -0.00003430     -0.00003418
      0.00018334      0.00037223      0.00053451      0.00053462      0.00318053
      0.00318104      0.00448964      0.00655390      0.00660656      0.00661346
      0.00880353      0.00890582      0.01099247      0.01101755
 ===== energy eigen values =====
 ik =    4 ( -0.250000  0.250000  0.250000 )
     -0.85696704     -0.85696703     -0.85695839     -0.85662659     -0.85662659
     -0.85653126     -0.85648529     -0.85648529     -0.85627040     -0.85622649
     -0.85622648     -0.85613633     -0.85598080     -0.85598079     -0.85591378
     -0.85581373     -0.85566502     -0.85566502     -0.85559901     -0.85559900
     -0.85557262     -0.85553746     -0.85544614     -0.85544232     -0.85544231
     -0.85535930     -0.85535929     -0.85529433     -0.85529433     -0.85512757
     -0.85512756     -0.85509368     -0.85508487     -0.85505761     -0.85505761
     -0.85496289     -0.85492647     -0.85492647     -0.85470877     -0.85470876
     -0.85467937     -0.85466686     -0.85466686     -0.85466277     -0.85404108
     -0.85392903     -0.85392902     -0.85384286     -0.85382593     -0.85375477
     -0.85375476     -0.85361174     -0.85360322     -0.85360322     -0.85357447
     -0.85337649     -0.85337648     -0.85331381     -0.85331380     -0.85319838
     -0.85317806     -0.85317804     -0.85317474     -0.85295241     -0.85293810
     -0.85293809     -0.85268302     -0.85258005     -0.85258004     -0.85248244
     -0.85248244     -0.85239606     -0.85217948     -0.85217948     -0.85214694
     -0.85195222     -0.85195222     -0.85179100     -0.85173828     -0.85173828
     -0.85155288     -0.85154014     -0.85154014     -0.85139965     -0.85139965
     -0.85139562     -0.85108936     -0.85108936     -0.85108023     -0.85107370
     -0.85094318     -0.85094317     -0.85080201     -0.85080201     -0.85062025
     -0.85060161     -0.85060161     -0.85053363     -0.85050364     -0.85050364
     -0.85034622     -0.85034622     -0.85032093     -0.85025701     -0.85018201
     -0.85018200     -0.85006758     -0.85001720     -0.85001720     -0.84994007
     -0.84965293     -0.84965293     -0.84964571     -0.84945829     -0.84943720
     -0.84943720     -0.84940389     -0.84940389     -0.84937511     -0.84933768
     -0.84933768     -0.84913100     -0.84907000     -0.84907000     -0.84900945
     -0.84891198     -0.84891198     -0.84885044     -0.84870346     -0.84870345
     -0.84862810     -0.84862810     -0.84850862     -0.84842415     -0.84842414
     -0.84836051     -0.84830384     -0.84822094     -0.84820336     -0.84820335
     -0.84811032     -0.84811032     -0.84804195     -0.84800111     -0.84800111
     -0.84792171     -0.84792171     -0.84790068     -0.84773493     -0.84758586
     -0.84758586     -0.84751256     -0.84751255     -0.84751051     -0.84740541
     -0.84733215     -0.84733214     -0.84723567     -0.84723567     -0.84719567
     -0.84699870     -0.84691430     -0.84691430     -0.84688175     -0.84685231
     -0.84675695     -0.84675695     -0.84667573     -0.84664454     -0.84664454
     -0.84649790     -0.84648835     -0.84648835     -0.84628576     -0.84628575
     -0.84624907     -0.84614210     -0.84614210     -0.84606944     -0.84606943
     -0.84604211     -0.84598311     -0.84592287     -0.84592287     -0.84579468
     -0.84579467     -0.84578779     -0.84575862     -0.84571808     -0.84571808
     -0.84547834     -0.84540088     -0.84536158     -0.84536158     -0.84528161
     -0.84528161     -0.84523412     -0.84509032     -0.84509031     -0.84506635
     -0.84505349     -0.84497365     -0.84497365     -0.84487920     -0.84487920
     -0.84477304     -0.84477304     -0.84474389     -0.84463461     -0.84454956
     -0.84454955     -0.84443535     -0.84437900     -0.84437899     -0.84432930
     -0.84432930     -0.84430022     -0.84422325     -0.84417145     -0.84417145
     -0.84406506     -0.84406506     -0.84403796     -0.84397841     -0.84397841
     -0.84388170     -0.84375669     -0.84375668     -0.84371715     -0.84365412
     -0.84365412     -0.84344252     -0.84340889     -0.84334768     -0.84334768
     -0.84320216     -0.84318592     -0.84318592     -0.84296305     -0.84292541
     -0.84292540     -0.84271712     -0.84271712     -0.84270500     -0.84270269
     -0.84260929     -0.84260928     -0.84243786     -0.84243753     -0.84243753
     -0.84214854     -0.84214854     -0.84210056     -0.84190439     -0.84190439
     -0.84189916     -0.84186750     -0.84180510     -0.84180510     -0.84176869
     -0.84176868     -0.84164847     -0.84164846     -0.84162092     -0.84146430
     -0.84140687     -0.84140687     -0.84130461     -0.84130461     -0.84123280
     -0.84118376     -0.84118376     -0.84117852     -0.84105671     -0.84070587
     -0.84070586     -0.84068256     -0.84065334     -0.84065334     -0.84064144
     -0.84051158     -0.84051157     -0.84049236     -0.84048839     -0.84043704
     -0.84043704     -0.84040780     -0.84035474     -0.84035473     -0.84016471
     -0.84016471     -0.84001672     -0.84001671     -0.83999738     -0.83993154
     -0.83993153     -0.83978277     -0.83975095     -0.83972427     -0.83972427
     -0.83961701     -0.83961701     -0.83948752     -0.83933710     -0.83928142
     -0.83928142     -0.83913540     -0.83868092     -0.83867072     -0.83867072
     -0.83850762     -0.83850761     -0.83847272     -0.83845536     -0.83845535
     -0.42623308     -0.41353184     -0.41353183     -0.41158876     -0.40138862
     -0.40138861     -0.39880848     -0.39043580     -0.38776873     -0.38776872
     -0.38591872     -0.37878993     -0.37878992     -0.37858226     -0.37818240
     -0.37818239     -0.37793257     -0.37489600     -0.37489596     -0.36779412
     -0.36281492     -0.36281491     -0.35660790     -0.35129389     -0.35116635
     -0.35116633     -0.34885853     -0.34885851     -0.34882907     -0.34710415
     -0.34710413     -0.32547137     -0.30612792     -0.30612792     -0.30593548
     -0.30588412     -0.30557696     -0.30557694     -0.30243062     -0.30243061
     -0.29338065     -0.29120993     -0.29120990     -0.28448553     -0.28164354
     -0.28164352     -0.27731798     -0.27082028     -0.27067856     -0.27067854
     -0.26825151     -0.26825148     -0.26040770     -0.25526434     -0.25260154
     -0.25260151     -0.23629117     -0.23244356     -0.23244355     -0.20721046
     -0.19901737     -0.19901735     -0.16925632     -0.16842242     -0.16842241
     -0.16758321     -0.16758321     -0.16751301     -0.16614247     -0.16532110
     -0.16532109     -0.15820096     -0.15398927     -0.15379174     -0.15379173
     -0.15355524     -0.15355524     -0.15317753     -0.15132629     -0.15024154
     -0.15024152     -0.14123631     -0.14109383     -0.14109383     -0.14020724
     -0.14020722     -0.13920049     -0.13790378     -0.13637432     -0.13603147
     -0.13603145     -0.13436332     -0.13436330     -0.13202926     -0.13184437
     -0.13184435     -0.12747412     -0.12747410     -0.12463267     -0.12406763
     -0.12149818     -0.12149818     -0.11648054     -0.11602817     -0.11602815
     -0.11593284     -0.11578414     -0.11578409     -0.11218926     -0.11218925
     -0.10852317     -0.10778909     -0.10379752     -0.10379749     -0.10074751
     -0.10074750     -0.09810978     -0.09622218     -0.09622217     -0.09194927
     -0.08999805     -0.08999803     -0.08560139     -0.07678199     -0.07469160
     -0.07469160     -0.06227434     -0.05566131     -0.05566126     -0.04584872
     -0.03069448     -0.03069447     -0.02762708     -0.02732175     -0.02732174
     -0.02537796     -0.02515362     -0.02515357     -0.02213548     -0.01669522
     -0.01663753     -0.01663752     -0.01426558     -0.01426556     -0.01241496
     -0.01017623     -0.01017617     -0.00095765     -0.00003431     -0.00003418
      0.00018335      0.00037218      0.00053450      0.00053455      0.00318053
      0.00318087      0.00448893      0.00653551      0.00660659      0.00660832
