 --- primitive lattice vectors ---
    17  -0.1224471912 -0.0145581948 -0.0264966310
    18  -0.1222044914 -0.0146661749 -0.0263750610
    19  -0.1223193226 -0.0144879389 -0.0264747942
    20  -0.1224116528 -0.0144192197 -0.0264568809
    21  -0.1222499321 -0.0146201275 -0.0264113507
    22  -0.1223708985 -0.0144303186 -0.0265238723
    23  -0.1224529062 -0.0145091600 -0.0265345014
    24  -0.1223690033 -0.0146227558 -0.0264274044
    25  -0.1224921609 -0.0145449328 -0.0263330198
    26  -0.1223242685 -0.0145980461 -0.0265283067
    27  -0.1223436972 -0.0145779258 -0.0263745274
    28  -0.1218626815 -0.0146409010 -0.0264438105
    29  -0.1220950523 -0.0146606196 -0.0265561735
    30  -0.1222400053 -0.0146027137 -0.0264133349
    31  -0.1222165662 -0.0147194485 -0.0263164680
    32  -0.1222003923 -0.0147301329 -0.0265539567
    33  -0.1223022809 -0.0146559038 -0.0265044588
    34  -0.1224840115 -0.0145521828 -0.0263100641
    35  -0.1222630375 -0.0145298685 -0.0263711884
    36  -0.1223813377 -0.0143768540 -0.0262668885
    37  -0.1223198254 -0.0145479403 -0.0264146453
    38  -0.1223137935 -0.0146198993 -0.0265133309
    39  -0.1223397288 -0.0145797719 -0.0264934619
    40  -0.1223357450 -0.0146520867 -0.0264244482
    41  -0.1223172968 -0.0145593378 -0.0263194196
    42  -0.1224361949 -0.0145527714 -0.0266171837
    43  -0.1221146633 -0.0146684469 -0.0263719548
    44  -0.1224057563 -0.0145141036 -0.0264277795
    45  -0.1221413691 -0.0146322859 -0.0263444289
    46  -0.1226718199 -0.0142053203 -0.0266419766
    47  -0.1224901920 -0.0145618458 -0.0263803901
    48  -0.1222089478 -0.0147093902 -0.0264380948
    49  -0.1224116768 -0.0145720029 -0.0264002174
    50  -0.1224271145 -0.0146482683 -0.0263581916
    51  -0.1221164000 -0.0145440733 -0.0264809210
    52  -0.1223974793 -0.0145999812 -0.0263075583
    53  -0.1224515344 -0.0146384241 -0.0263705188
    54  -0.1222385407 -0.0145189077 -0.0264645574
    55  -0.1223358724 -0.0146172341 -0.0263734095
    56  -0.1226367231 -0.0148332250 -0.0260812873
    57  -0.1222725978 -0.0146208012 -0.0262368036
    58  -0.1220678547 -0.0144821882 -0.0264277226
    59  -0.1224351139 -0.0144772607 -0.0263802308
    60  -0.1224500102 -0.0144304309 -0.0264853757
    61  -0.1221940180 -0.0143955321 -0.0263615432
    62  -0.1224968434 -0.0145678661 -0.0263215087
    63  -0.1223181406 -0.0145775489 -0.0263374883
 n=     5 A   IR&R
     hbarW= -0.56557554E-06 Ha = -0.15390093E-04 eV; nu= -0.12412949E+00 cm^-1
     1  -0.0044953263 -0.1004203145  0.0761853985
     2  -0.0043521085 -0.1002688894  0.0759213378
     3  -0.0045427944 -0.1003092803  0.0760574568
     4  -0.0044478874 -0.1002594501  0.0759794161
     5  -0.0045419169 -0.1001640643  0.0759971237
     6  -0.0044499981 -0.1003047299  0.0760906309
     7  -0.0045054008 -0.1003255060  0.0760442612
     8  -0.0045454518 -0.1002588753  0.0760998472
     9  -0.0044849853 -0.1004368382  0.0760024800
    10  -0.0044835396 -0.1004063842  0.0759360535
    11  -0.0043087184 -0.1003021589  0.0760949085
    12  -0.0044741864 -0.1001872803  0.0761913157
    13  -0.0044610555 -0.1002824882  0.0761610596
    14  -0.0042726080 -0.1002324733  0.0761352145
    15  -0.0044138085 -0.1002428245  0.0759559920
    16  -0.0045216990 -0.1003776367  0.0761587084
    17  -0.0045043653 -0.1002770161  0.0762404872
    18  -0.0046096911 -0.1001257183  0.0760617265
    19  -0.0045432823 -0.1003185451  0.0760703223
    20  -0.0046188391 -0.1003569779  0.0759523455
    21  -0.0044972832 -0.1002505107  0.0761226129
    22  -0.0044744546 -0.1003520857  0.0761208072
    23  -0.0045069794 -0.1002492140  0.0759995706
    24  -0.0046425114 -0.1003612085  0.0760332294
    25  -0.0044605989 -0.1003092830  0.0762085771
    26  -0.0044057224 -0.1003022963  0.0760384533
    27  -0.0043885437 -0.1002965164  0.0760141981
    28  -0.0044100040 -0.0999915924  0.0758541426
    29  -0.0043350473 -0.0999906335  0.0760707142
    30  -0.0043786848 -0.1002344382  0.0760340112
    31  -0.0045960443 -0.1002727129  0.0758219550
    32  -0.0045574722 -0.1002938100  0.0761440818
    33  -0.0044462120 -0.1004751869  0.0762134177
    34  -0.0044567912 -0.1003231861  0.0761842263
    35  -0.0043782409 -0.1004115470  0.0760336947
    36  -0.0044910702 -0.1003856808  0.0761038342
    37  -0.0045046015 -0.1003894810  0.0761009193
    38  -0.0045015999 -0.1003322678  0.0760640617
    39  -0.0043886121 -0.1003008161  0.0761257781
    40  -0.0044870600 -0.1004206624  0.0761352313
    41  -0.0045590019 -0.1002937898  0.0761746005
    42  -0.0042752797 -0.1003731261  0.0761729428
    43  -0.0041881360 -0.1003631403  0.0761456016
    44  -0.0042320395 -0.1003270461  0.0760709365
    45  -0.0043136152 -0.1002445311  0.0760729620
    46  -0.0044220874 -0.1003628603  0.0760131594
    47  -0.0044362331 -0.1004179303  0.0761207663
    48  -0.0043720828 -0.1004522396  0.0762576959
    49  -0.0045996406 -0.1004278744  0.0760717694
    50  -0.0045675493 -0.1004029783  0.0760778201
    51  -0.0049014326 -0.1002727802  0.0760175324
    52  -0.0046459596 -0.1003322324  0.0761786457
    53  -0.0045794321 -0.1003687882  0.0761785462
    54  -0.0045278633 -0.1005354089  0.0762091994
    55  -0.0045190426 -0.1003827519  0.0760121889
    56  -0.0046291851 -0.1000206498  0.0760120217
    57  -0.0044043861 -0.1003635635  0.0760712873
    58  -0.0043283308 -0.1003301326  0.0761157646
    59  -0.0045517068 -0.1003736181  0.0762117687
