  No.   E(hr.)        dos(hr.)         E(eV)          dos(eV)              sum
   2656  -0.60060      0.0000000000    -14.313906      0.0000000000      629.9999999999
   2666  -0.59960      0.0000000000    -14.286694      0.0000000000      629.9999999999
   2676  -0.59860      0.0000000000    -14.259483      0.0000000000      629.9999999999
   2686  -0.59760      0.0000000000    -14.232271      0.0000000000      629.9999999999
   2696  -0.59660      0.0000000000    -14.205060      0.0000000000      629.9999999999
   2706  -0.59560      0.0000000000    -14.177849      0.0000000000      629.9999999999
   2716  -0.59460      0.0000000000    -14.150637      0.0000000000      629.9999999999
   2726  -0.59360      0.0000000000    -14.123426      0.0000000000      629.9999999999
   2736  -0.59260      0.0000000000    -14.096214      0.0000000000      629.9999999999
   2746  -0.59160      0.0000000000    -14.069003      0.0000000000      629.9999999999
   2756  -0.59060      0.0000000000    -14.041792      0.0000000000      629.9999999999
   2766  -0.58960      0.0000000000    -14.014580      0.0000000000      629.9999999999
   2776  -0.58860      0.0000000000    -13.987369      0.0000000000      629.9999999999
   2786  -0.58760      0.0000000000    -13.960157      0.0000000000      629.9999999999
   2796  -0.58660      0.0000000000    -13.932946      0.0000000000      629.9999999999
   2806  -0.58560      0.0000000000    -13.905735      0.0000000000      629.9999999999
   2816  -0.58460      0.0000000000    -13.878523      0.0000000000      629.9999999999
   2826  -0.58360      0.0000000000    -13.851312      0.0000000000      629.9999999999
   2836  -0.58260      0.0000000000    -13.824100      0.0000000000      629.9999999999
   2846  -0.58160      0.0000000000    -13.796889      0.0000000000      629.9999999999
   2856  -0.58060      0.0000000000    -13.769678      0.0000000000      629.9999999999
   2866  -0.57960      0.0000000000    -13.742466      0.0000000000      629.9999999999
   2876  -0.57860      0.0000000000    -13.715255      0.0000000000      629.9999999999
   2886  -0.57760      0.0000000000    -13.688043      0.0000000000      629.9999999999
   2896  -0.57660      0.0000000000    -13.660832      0.0000000000      629.9999999999
   2906  -0.57560      0.0000000000    -13.633621      0.0000000000      629.9999999999
