 ===== energy eigen values =====
 ik =    1 (  0.250000  0.250000  0.250000 )
     -0.30588124     -0.30557331     -0.30557317     -0.30239871     -0.30239859
     -0.29352175     -0.29114623     -0.29114610     -0.28460192     -0.28159513
     -0.28159497     -0.27750965     -0.27070533     -0.27070524     -0.27062416
     -0.26847996     -0.26847985     -0.26039795     -0.25563453     -0.25251284
     -0.25251272     -0.23653767     -0.23238427     -0.23238416     -0.20735557
     -0.19892132     -0.19892123     -0.16935778     -0.16859642     -0.16859636
     -0.16768223     -0.16750727     -0.16750723     -0.16598143     -0.16530734
     -0.16530721     -0.15810369     -0.15413889     -0.15383165     -0.15383160
     -0.15353539     -0.15353536     -0.15317751     -0.15136226     -0.15023558
     -0.15023549     -0.14140356     -0.14111209     -0.14111206     -0.14016189
     -0.14016180     -0.13937398     -0.13792599     -0.13642950     -0.13611272
     -0.13611256     -0.13437619     -0.13437613     -0.13196461     -0.13196452
     -0.13192123     -0.12746873     -0.12746864     -0.12438330     -0.12407311
     -0.12148637     -0.12148635     -0.11654747     -0.11627696     -0.11627689
     -0.11587132     -0.11570310     -0.11570293     -0.11212116     -0.11212104
     -0.10851071     -0.10770746     -0.10384741     -0.10384726     -0.10061355
     -0.10061337     -0.09812059     -0.09621799     -0.09621791     -0.09172468
     -0.08982797     -0.08982788     -0.08562682     -0.07669199     -0.07457401
     -0.07457386     -0.06227153     -0.05571461     -0.05571450     -0.04582382
     -0.03068111     -0.03068106     -0.02771718     -0.02739741     -0.02739724
     -0.02521389     -0.02516746     -0.02516734     -0.02180539     -0.01678488
     -0.01663382     -0.01663374     -0.01436386     -0.01436368     -0.01228007
     -0.01003660     -0.01003640     -0.00102086      0.00006846      0.00007261
      0.00007268      0.00056731      0.00061857      0.00061859      0.00316310
      0.00316317      0.00447212      0.00647361      0.00665493      0.00665498
      0.00872212      0.00873245      0.01109574      0.01115338
 ===== energy eigen values =====
 ik =    3 ( -0.250000  0.250000 -0.250000 )
     -0.85711037     -0.85711035     -0.85710482     -0.85666487     -0.85666486
     -0.85649633     -0.85645171     -0.85645170     -0.85625562     -0.85621603
     -0.85621602     -0.85595693     -0.85583627     -0.85583626     -0.85577670
     -0.85570561     -0.85564630     -0.85564628     -0.85555008     -0.85553292
     -0.85553289     -0.85543425     -0.85539667     -0.85539535     -0.85539533
     -0.85533350     -0.85533349     -0.85520385     -0.85520384     -0.85514882
     -0.85512184     -0.85512182     -0.85510208     -0.85505468     -0.85505468
